x[nm],y [nm],z [nm]
2889.237,3684.662,340.704
2889.237,3684.662,340.704
2884.917,3695.031,331.856
2884.917,3695.031,331.856
2902.287,3713.252,333.775
2903.896,3720.117,339.456
2903.896,3720.117,339.456
2903.896,3720.117,339.456
2915.741,3704.336,340.349
2913.5,3704.541,346.982
2913.5,3704.541,346.982
2857.757,3666.401,339.934
2857.757,3666.401,339.934
2857.757,3666.401,339.934
2915.727,3718.249,347.961
2915.727,3718.249,347.961
2931.826,3734.552,335.33
2938.684,3723.304,330.943
2903.416,3701.257,348.587
2903.416,3701.257,348.587
2903.416,3701.257,348.587
2903.416,3701.257,348.587
2920.528,3720.518,329.502
2920.528,3720.518,329.502
2920.528,3720.518,329.502
2859.732,3685.669,349.642
2859.732,3685.669,349.642
2942.26,3736.143,348.047
2943.123,3726.139,334.234
2911.985,3719.109,349.48
2930.091,3724.704,330.008
2930.091,3724.704,330.008
2852.475,3678.483,339.049
2852.475,3678.483,339.049
2852.475,3678.483,339.049
2852.475,3678.483,339.049
2852.475,3678.483,339.049
2852.475,3678.483,339.049
2913.133,3721.968,337.819
2913.133,3721.968,337.819
2848,3657.447,341.677
2848,3657.447,341.677
2916.424,3707.094,338.145
2916.424,3707.094,338.145
2868.754,3683.598,332.394
2868.754,3683.598,332.394
2868.754,3683.598,332.394
2868.754,3683.598,332.394
2908.843,3714.47,348.258
2908.843,3714.47,348.258
2917.788,3707.286,338.663
2917.788,3707.286,338.663
2917.788,3707.286,338.663
2917.788,3707.286,338.663
2917.788,3707.286,338.663
2850.192,3674.458,336.556
2850.192,3674.458,336.556
2908.231,3722.663,337.505
2908.231,3722.663,337.505
2908.231,3722.663,337.505
2908.231,3722.663,337.505
2908.231,3722.663,337.505
2908.231,3722.663,337.505
2869.709,3674.677,339.588
2850.844,3659.597,334.659
2850.844,3659.597,334.659
2894.969,3691.43,336.617
2894.969,3691.43,336.617
2894.969,3691.43,336.617
2881.882,3686.513,349.052
2854.796,3669.022,332.555
2854.796,3669.022,332.555
2854.796,3669.022,332.555
2854.796,3669.022,332.555
2854.796,3669.022,332.555
2875.04,3683.162,336.055
2875.04,3683.162,336.055
2939.761,3719.806,342.207
2939.761,3719.806,342.207
2939.761,3719.806,342.207
2939.761,3719.806,342.207
2939.761,3719.806,342.207
2855.583,3677.744,336.335
2862.669,3682.284,338.009
