frame,x[nm],y [nm],z [nm]
0,4322.543,8028.701,19.70383
1,5927.092,5283.305,91.97441
1,4969.573,6363.467,56.47186
1,4327.962,8810.338,-32.84271
2,8989.755,6260.874,197.1365
2,4532.883,7253.357,74.58786
2,4456.502,9129.395,-85.69717
3,6440.506,3633.784,-520.5659
3,4610.082,4953.197,233.6424
4,3017.216,3791.352,357.2137
4,5007.225,6318.922,46.86302
6,4415.256,4831.979,276.8363
7,4628.052,7091.042,73.48679
8,6758.865,2926.234,-556.6281
8,4532.122,4915.258,203.866
8,4832.21,6599.043,125.3876
9,2897.963,3708.584,348.7778
9,7129.147,5352.607,-30.29633
9,8697.584,5980.001,181.2812
9,5525.764,6058.646,135.116
10,3068.079,3813.469,349.0459
10,6306.069,4493.937,-352.8058
10,8210.893,5603.993,125.7441
12,5163.707,5471.896,-513.4379
12,4630.431,6959.612,242.3203
12,4442.037,9102.21,-109.4184
13,5651.605,5150.803,-209.305
13,8571.604,5872.941,136.7233
13,4328.806,7949.243,5.97168
14,3602.862,4558.051,292.6637
14,6175.833,4617.971,-273.9264
16,6527.332,5311.15,120.3741
16,8065.397,5554.908,173.0126
17,6318.358,4302.722,-414.7613
17,4544.912,7313.807,376.1604
18,4037.841,4620.913,284.7713
18,7422.159,5379.818,140.6787
18,9132.256,6424.539,202.4669
18,4371.369,8763.082,-64.11133
19,8330.604,5658.561,-118.6948
20,5352.55,5243.32,-560.5933
20,6866.313,5313.214,-23.41713
20,8558.57,5729.275,-128.515
21,8879.636,6169.491,196.2402
22,3486.121,4514.547,306.3036
22,6628.472,5293.945,-9.360123
22,4964.232,6371.994,63.85185
23,4200.604,4679.846,259.1116
23,8274.161,5630.922,-100.4134
23,5307.972,5784.531,-69.38698
24,6327.839,4133.338,-417.5989
24,9010.292,5921.979,-176.2192
24,4531.919,7279.607,77.71942
25,5966.73,5773.11,117.8926
25,4293.598,8381.455,441.7812
26,6281.013,4037.998,-387.0224
26,4917.799,5079.809,186.2067
26,4323.61,8642.593,-5.917282
27,6498.263,3483.03,-529.4163
27,3019.409,3806.021,344.4977
27,8520.741,5827.682,193.404
28,6389.527,3634.993,-511.3248
28,4898.727,5067.407,194.7556
28,6908.442,5431.959,159.1574
28,8950.023,6251.92,186.8743
29,6772.455,2981.988,-649.9598
29,8336.054,5698.781,172.921
30,8542.071,5743.284,-159.8746
30,4452.411,9206.276,-117.9338
31,6455.21,3550.138,-512.1285
31,7137.861,5358.696,-39.10828
32,3003.943,3878.761,508.4898
32,5941.099,5808.731,117.9492
32,4564.316,7181.584,84.12132
33,6418.388,3594.225,-479.451
33,8772.03,5803.68,-133.8678
33,4735.519,6832.142,160.4401
34,5552.527,5409.206,-143.5277
34,9128.153,5961.225,-148.8794
35,6679.77,3165.187,-636.7659
35,4171.386,8783.024,567.8496
36,6768.895,3010.898,-658.8002
36,4946.511,5095.33,196.8155
36,9054.819,6368.238,203.8622
36,4645.027,7044.04,94.65057
37,6281.537,4489.849,-478.631
37,5003.129,6506.058,412.6299
38,6290.035,3979.788,-476.5433
38,4422.079,4848.095,218.5107
38,7195.174,5366.063,-48.36411
39,6308.365,3811.163,-486.7923
40,3416.938,4420.818,434.9628
40,8667.268,5787.846,-138.8214
40,4363.056,7748.831,51.85196
41,6647.647,3178.907,-630.6994
41,4517.884,4897.13,217.4709
41,4799.68,6643.22,158.6102
41,4412.458,9083.35,-96.76323
42,4319.728,8240.011,-23.58994
43,3658.344,4568.935,291.8039
43,5656.41,5252.747,98.04306
43,7842.817,5512.307,-112.2549
43,9087.206,6374.688,210.2159
44,6354.251,3745.299,-477.4138
44,7637.552,5474.869,-69.77425
44,5206.952,5975.639,-14.69727
45,6385.491,3651.379,-531.2908
45,5680.665,5973.955,104.2518
45,9033.906,5928.595,-169.7189
46,4444.308,4849.789,256.7281
46,9067.151,6362.628,186.9308
46,4628.64,6971.141,283.0234
46,4466.176,9205.553,-116.1749
47,6454.975,3533.998,-546.4984
47,7415.979,5462.896,-533.5134
47,4781.635,6684.434,168.2191
48,5710.384,4999.384,-251.027
48,8734.38,6007.413,172.378
49,6885.442,5400.395,122.8454
50,4793.641,5037.604,202.7288
50,4235.484,8457.026,525.1419
51,4324.021,8023.549,22.07352
52,6677.187,3221.454,-580.1382
52,4329.742,8140.121,6.628952
53,6617.007,3285.976,-590.926
53,3294.051,4137.366,317.0543
53,7709.139,5397.36,141.8333
53,4901.536,6694.235,90.24071
54,4344.566,4788.132,228.6263
54,6220.036,5298.542,60.02388
56,3836.221,4570.509,258.4595
56,6264.148,5292.704,17.4469
56,5089.058,6166.188,9.237595
56,4324.175,8290.382,-3.9254
57,7047.36,5387.355,-475.0998
57,8795.49,5830.316,-145.9317
57,4368.995,7980.284,441.0576
58,8685.507,5785.24,-130.6425
58,4292.371,8243.691,490.406
59,3031.695,3799.146,322.2504
59,4933.083,5049.444,66.15288
59,8962.291,5906.127,-159.8872
60,5406.579,6174.566,144.043
60,4446.306,9121.066,-110.1333
61,6438.177,3606.725,-507.5681
61,9108.693,6434.863,205.2396
61,5146.361,6421.343,96.6555
61,4349.133,8707.298,-47.87766
62,6286.823,4041.96,-395.8688
62,6464.955,5303.587,88.57666
62,8999.861,5905.773,-142.4467
63,3829.89,4590.397,265.3036
63,7419.487,5378.219,119.4035
63,5510.639,6095.174,95.58372
64,3002.919,3770.427,356.9844
64,6306.047,4187.474,-410.3611
64,5153.874,5159.381,155.2544
64,4365.673,7969.414,431.2262
65,8383.87,5739.175,172.7773
66,6341.833,4140.777,-428.8005
66,3702.817,4589.967,291.1501
66,5060.259,6518.74,115.2628
66,4240.109,8407.91,495.8167
68,6720.277,3104.804,-600.8353
68,7773.968,5447.037,172.4043
68,5459.38,5544.488,-126.6661
68,4177.844,8694.402,546.1295
69,8971.623,5891.214,-183.03
71,6480.623,3562.446,-552.6047
71,4360.233,4778.718,234.5466
71,8482.617,5790.145,171.4671
71,4452.896,7455.052,66.02127
72,6809.237,5342.541,19.04991
72,8382.943,5722.615,145.6505
72,4801.195,6810.367,104.9263
73,3304.709,4144.727,320.7793
73,5165.483,6418.484,122.9195
74,7213.775,5361.766,-63.10066
74,5205.895,5971.232,-18.75526
74,4488.82,7381.035,68.7368
75,5371.738,5222.964,139.7056
75,5146.951,6399.268,76.50536
76,6752.184,2982.827,-587.236
76,8305.782,5773.361,-553.7708
76,5045.272,6536.835,92.24739
77,7545.366,5433.079,-85.3196
77,4978.914,6381.386,-551.9121
77,4321.934,8077.798,446.6188
78,4324.741,8038.096,435.1825
80,7098.642,5347.667,-46.86806
80,8810.827,5828.833,-155.3332
81,6625.9,3215.532,-574.309
81,3227.954,3986.596,316.8535
81,6315.797,4490.53,-413.63
81,7930.35,5527.186,-96.43288
82,3351.95,4280.847,304.6906
82,5465.64,6127.727,134.2416
82,4363.448,7687.081,85.23491
83,9187.648,6511.251,214.7781
83,4407.8,8971.09,-68.63457
84,5093.765,5143.658,173.4011
84,7571.917,5436.058,-90.47661
84,8999.921,5919.107,-121.4481
84,4680.359,6982.061,96.4135
85,4252.601,4702.556,257.6806
85,4938.358,6417.843,57.36404
86,3047.884,3818.802,330.0545
86,5739.2,4908.783,-316.7454
86,4313.166,8067.073,41.05225
87,6499.679,3495.243,-510.6469
87,3297.486,4138.263,351.2117
87,4460.881,4863.226,244.5783
88,4881.661,5053.926,205.58
88,7592.145,5389.592,157.0531
89,5688.729,5008.184,-248.6601
89,7697.379,5469.688,-93.80226
89,4871.668,6731.625,129.8067
89,4314.572,8216.62,0.4103088
90,6639.174,3261.281,-570.2703
90,8916.644,5857.744,-133.9638
90,4401.333,7637.188,120.8869
91,4279.543,8249.597,490.4231
92,6308.475,4086.905,-418.1665
92,6019.764,5661.636,50.49767
92,4241.423,8413.694,519.3574
93,6106.729,4651.119,-316.65
93,4459.331,4867.813,246.2257
93,4499.33,7385.838,362.7559
93,4454.567,9192.65,-106.2043
94,7718.243,5478.667,-85.85075
94,5097.336,6148.327,13.22525
95,9140.671,6294.577,398.7862
95,4647.979,7000.439,128.5067
96,4188.59,8660.188,546.3988
97,2960.268,3740.275,317.3338
97,6314.02,4179.585,-404.9926
97,5295.845,5800.791,-66.88087
98,5805.587,5247.489,98.13637
98,4191.924,8603.86,537.2728
99,3147.652,3886.067,334.0605
99,7316.82,5398.808,-76.49002
100,6165.39,5291.133,67.78366
100,8046.342,5560.313,-118.4476
100,4248.902,8624.145,541.666
101,6767.56,5380.949,130.4735
102,6559.073,5340.453,-528.5451
103,5928.968,5843.126,128.9588
103,4344.305,8025.948,453.2285
104,6787.957,3002.108,-682.1923
104,8861.802,5851.522,-177.7869
105,7870.77,5512.566,-84.90501
105,4261.438,8315.939,488.1808
106,8763.995,6033.925,163.5212
107,4027.22,4614.276,266.6806
109,6615.763,3374.003,-580.1214
109,4580.903,4937.063,217.5344
109,8109.552,5592.833,-107.0985
109,4868.048,6706.776,95.38963
110,6293.872,4496.009,-377.4037
110,4451.052,4875.398,254.15
110,5673.998,5983.533,116.818
110,9193.993,6530.165,224.4799
111,4317.402,8540.95,-47.99866
112,8220.882,5615.341,-106.6313
112,4627.899,6968.13,277.0827
113,6726.232,3098.818,-622.6605
113,2844.187,3658.116,331.1433
114,2904.634,3703.935,324.1052
114,8922.888,5882.917,-192.4444
114,4600.926,7010.862,355.7121
116,8139.702,5587.962,-103.6828
116,5078.05,6163.879,17.93106
116,4433.97,9120.081,-114.1511
117,6824.638,2934.021,-684.0236
117,3048.639,3811.859,324.3979
118,6356.312,3680.184,-499.1321
118,9094.054,5946.151,-166.07
118,5291.299,6269.229,119.0071
118,4376.526,7776.599,38.38234
119,3068.067,3801.084,310.5298
120,3895.853,4586.076,277.0005
120,4684.111,7013.229,90.9024
121,6337.934,3799.031,-479.0894
121,7800.823,5432.103,86.33034
121,5685.296,5981.723,92.91801
122,4994.223,5110.036,194.8547
122,6232.286,5328.809,74.66087
122,4441.534,7535.166,66.36147
123,6650.214,5344.332,125.7697
123,9099.922,5950.773,-152.006
123,5139.795,6094.936,-17.77466
123,4303.819,8305.822,-17.74147
124,6208.768,4603.481,-294.0171
124,7563.578,5371.021,123.9535
125,8051.194,5536.611,24.72252
126,4418.094,7584.302,36.38779
127,3927.234,4584.979,289.4023
127,7580.372,5427.21,-87.01653
129,3434.724,4450.126,283.5719
129,5675.561,4998.321,-241.5858
129,7876.222,5502.677,-59.36386
129,4356.071,7874.965,31.10199
130,8881.313,5870.063,-152.3914
131,6665.996,3223.681,-604.5516
131,3278.705,4102.652,319.8444
131,7354.753,5359.98,139.7609
131,4599.696,7030.617,282.6872
132,6270.607,3998.162,-447.8345
133,6579.65,3342.461,-536.9453
133,3039.422,3791.639,341.1505
134,2933.689,3738.612,330.0298
134,4593.108,4959.988,208.4254
135,4449.791,7746.067,496.3242
136,3935.621,4597.586,252.5569
136,6288.979,4525.162,-355.0345
136,5766.538,5952.47,131.7728
136,4435.125,7722.075,399.9136
137,2890.083,3691.389,296.5442
137,3678.921,4585.937,288.591
138,3999.497,4611.383,275.4711
138,8478.46,5796.001,164.2304
138,4315.375,8519.72,-32.2657
139,2987.028,3759.161,339.8225
139,4418.292,9076.372,-99.58733
140,6306.83,4148.69,-402.8792
140,7403.654,5367.077,136.9794
140,8657.468,5778.059,-143.407
141,8821.324,6105.957,167.0832
141,4222.43,8590.28,507.1582
142,6301.556,4043.41,-407.7626
142,5394.633,5213.433,117.1996
142,6565.428,5299.78,65.67627
143,6652.573,3180.01,-546.1434
143,9107.067,6424.346,204.1726
144,6287.66,3944.527,-440.8451
144,3279.779,4228.118,479.0715
144,4422.728,7509.803,60.85548
145,6666.626,3233.411,-567.442
145,6868.41,5327.049,-29.9453
145,8921.118,5866.805,-145.7008
146,6039.086,5665.376,123.2428
146,8351.914,5707.651,179.1054
146,4479.684,7420.952,64.33464
147,6133.461,5568.351,131.0628
147,8859.577,5948.095,-507.8832
148,6309.101,3801.313,-492.0776
148,3976.837,4900.249,618.4393
148,5978.91,5751.912,109.548
149,6129.574,5469.656,-606.9268
149,8666.337,5915.067,109.5557
150,9222.531,6558.04,204.6774
151,8324.821,5651.222,-160.7881
151,4321.749,8143.118,477.5337
152,3693.291,4562.991,287.5558
152,6689.935,5307.486,-2.730179
153,7562.603,5424.269,-75.33676
153,4261.451,8307.463,495.0359
154,3197.219,3962.206,342.8607
154,4459.605,4874.594,222.347
155,6314.497,4073.15,-436.7855
155,6143.979,5534.336,144.9454
155,8162.077,5607.352,164.5383
155,4903.793,6471.918,73.23303
157,6660.056,3216.721,-583.9647
