frame,x[nm],y [nm],z [nm]
0,4324.52,8027.446,19.58904
1,5927.61,5280.888,93.23498
1,4971.048,6360.971,56.68568
1,4329.636,8809.503,-35.789
2,8989.765,6258.818,202.8911
2,4533.531,7250.562,74.48627
2,4458.45,9128.066,-87.42695
3,6433.579,3632.105,-518.2303
3,4610.138,4954.109,246.426
4,3017.983,3791.213,358.9795
4,5008.575,6316.752,46.96011
6,4414.979,4830.559,282.1054
7,4628.965,7089.418,74.743
8,6755.809,2922.01,-545.3732
8,4533.209,4923.771,238.2885
8,4832.865,6596.983,129.6701
9,2898.205,3708.985,351.8923
9,7131.05,5350.712,-31.94958
9,8697.574,5979.213,188.4961
9,5526.157,6055.747,137.9323
10,3068.354,3811.565,348.813
10,6306.99,4492.999,-351.3474
10,8211.386,5602.086,129.6845
12,5154.805,5470.588,-524.1665
12,4630.191,6959.216,250.4782
12,4443.812,9100.943,-111.8145
13,5651.603,5150.309,-210.4942
13,8572.729,5872.966,146.6082
13,4330.391,7947.776,5.277366
14,3603.094,4558.554,299.7403
14,6177.247,4616.912,-270.7485
16,6527.784,5309.637,122.3987
16,8065.604,5554.015,181.463
17,6316.33,4301.675,-413.6717
17,4545.452,7310.127,381.9246
18,4037.81,4620.981,291.0901
18,7422.605,5379.569,146.7737
18,9132.125,6422.131,208.0121
18,4374.602,8762.269,-63.80871
19,8332.688,5657.455,-119.4331
20,5619.294,5190.317,-158.3001
20,6868.867,5311.426,-24.20933
20,8559.169,5728.414,-130.9838
21,8879.701,6168.18,201.4319
22,3486.157,4515.514,312.524
22,6630.491,5291.906,-10.74391
22,4965.277,6369.603,64.04369
23,4200.594,4680.823,269.619
23,8276.42,5629.51,-101.9976
23,5309.875,5782.674,-71.09577
24,6320.598,4132.374,-418.035
24,9011.967,5921.191,-175.2578
24,4532.702,7277.537,78.01785
25,5967.278,5770.542,120.7189
25,4297.784,8356.025,420.2808
26,6276.068,4037.892,-391.0344
26,4917.815,5078.056,192.2922
26,4325.764,8640.77,-8.722344
27,6490.995,3480.711,-522.6901
27,3019.879,3805.657,346.3892
27,8520.595,5825.086,198.8018
28,6386.053,3634.079,-511.1745
28,4898.824,5067.892,204.5932
28,6908.486,5430.9,165.3217
28,8950.09,6250.641,194.0083
29,6778.184,2981.941,-655.1588
29,8336.434,5697.545,180.758
30,8542.272,5742.566,-161.4479
30,4454.193,9205.129,-119.7139
31,6447.056,3544.756,-500.3299
31,7140.032,5357.142,-40.31925
32,3006.746,3869.215,494.9631
32,5941.648,5806.761,121.164
32,4564.88,7179.441,85.55943
33,6411.235,3593.294,-479.0616
33,8774.978,5802.647,-134.0651
33,4735.971,6834.605,171.3742
34,5554.2,5408.459,-144.0447
34,9130.012,5960.331,-149.6466
35,6685.908,3164.543,-636.2945
35,4173.766,8791.741,565.2626
36,6779.679,3011.36,-661.03
36,4946.951,5095.65,206.3582
36,9055.151,6368.929,213.8968
36,4646.041,7041.084,96.61846
37,6278.711,4487.406,-469.5662
37,5008.391,6477.962,408.0107
38,6279.616,3978.664,-472.7387
38,4422.007,4848.656,229.1698
38,7197.216,5364.612,-49.54258
39,6299.736,3810.23,-486.717
40,3419.411,4419.768,424.6292
40,8668.184,5786.739,-140.9633
40,4364.595,7746.548,52.46616
41,6649.455,3177.75,-626.6913
41,4517.751,4897.136,228.3884
41,4800.397,6643.118,166.274
41,4415.712,9081.98,-98.14869
42,4321.957,8237.734,-25.52769
43,3658.756,4569.904,299.7077
43,5657.239,5251.016,101.0674
43,7845.119,5511.338,-112.3606
43,9087.373,6374.271,219.5047
44,6341.945,3744.704,-478.6544
44,7640.16,5473.657,-70.59246
44,5208.339,5973.294,-16.97338
45,6373.799,3653.754,-520.9117
